(;id;tipo_solicitacao;)
(;1;Armazenamento de Madeira;)
(;2;Atividade de Fiscalização;)
(;3;Captura de Animais Domésticos;)
(;4;Captura de Animais Silvestres;)
(;5;Colaboração;)
(;6;Convênio;)
(;7;Convite;)
(;8;Convocação;)
(;9;Doação de Madeira;)
(;10;Elaboração de Projeto;)
(;11;Entrega de Defesa de Auto de Infração;)
(;12;Entrega de Documentações Pendentes;)
(;13;Informações;)
(;14;Nota Técnica;)
(;15;Ofício;)
(;16;Outros;)
(;17;Parece Técnico;)
(;18;Processo;)
(;19;Prorrogação de Prazo;)
(;20;Relatório de Fiscalização;)
